feature,sys,dia,tl,hdl,ldl
cl_100008,0,0.174096905,0,0,0.063490927
cl_bbv_s1_peak,0,0,0,0,0
cl_pm300018,0,0,0,0,0
cl_pm300019,0,0,0,0,0
cl_cat0422,0,0,0,0,0
cl_cat0423,0,0,0,0,0
cl_conslt_hypertension,0,0,0,0,0
cl_cat0428,0,0,0,0,0
cl_cat0731,0,0,0,0.003702924,0
cl_cat0732,0,0,0,0,0
cl_cva_tender,0,0,0,0,0
cl_2174,0.084911049,0.01672742,0.011469884,0.000248213,0.004220357
cl_cxr,0,0,0.011235948,0,0
cl_liver_size,0,0,0,0,0
cl_conslt_diabetes,0,0,0,0,0
cl_190,0.045056058,0.008733303,0.004319517,0.000442932,0.002391959
cl_191,0.004690739,0.005286406,0.002704589,0.000229873,5.19E-05
cl_192,0.012752723,0,0.007268492,0,0.005845312
cl_193,0,0.089722788,0.052844364,0.005202297,0.070216935
cl_hx_lipid,0.900070913,0,0,0,0
cl_cat0206,0,0,0,0,0
cl_cat0207,0,0,0,0,0
cl_cat0201,0,0,0,0,0
cl_cat0202,0,0,0,0,0
cl_cat0203,0,0,0,0,0
cl_cat0433,0,0,0,0,0
cl_cat0432,0,0,0,0,0
cl_cat0208,0,0,0,0,0
cl_cat0209,0,0,0,0,0
cl_cat0949,0,0,0,0,0
cl_cat0726,0,0,0,0.01322432,0
cl_hx_kidney,0,0,0,0,0
cl_cat0728,0,0,0,0,0
cl_cat0947,0,0,0,0,0
idx,2.10E-05,5.26E-05,2.11E-05,1.34E-06,5.51E-06
cl_a703,0.015876537,0.008531288,0.000428236,0.000165071,0.000494275
cl_300131,0,0,0,0,0
cl_a701,0,0,0,0,0
cl_1474,0.006917536,0.002647678,0,3.68E-05,0.000143436
cl_809017,0.033125594,0,0.000748755,0.00126161,0
cl_809010,0,0,0,0,0
cl_2376,0.019641102,0.010312053,0.000970506,5.06E-05,0.000553695
cl_809013,0,0,0,0,0
cl_809001,0,0.004171382,0,0,0
cl_809009,0,0,0,0,0
cl_669001,0,0.007817075,0.009712302,0.004465481,0
cl_809004,0,0,0,0,0
cl_20002,0,0,0,0,0
cl_809021,0,0.046106017,0,0,0.000621162
cl_809023,0,0,0,0,0
cl_809008,0,0,0,0,0
cl_2986,0,0.039206078,0.007187001,0.000694848,0.003924116
cl_300001,0.067376555,0.061870675,0.014599228,0,0.004037427
cl_1110,0.177467503,0.143527271,0.003048853,0,0
cl_300021,0.103376016,0.053985585,0.003323339,0.001521423,0.004303641
cl_2177,0.022032978,0,0,0,0.001116802
cl_300008,0,0,0,0,0
cl_100013,0,0,0,0,0
cl_100012,0.005130057,0.005025541,0.000451563,0.000356931,0.001043338
cl_100014,0.109266677,0.088020648,0.002373908,0.002052718,0.004583925
cl_669002,0,0,0,0.005842183,0
cl_669021,0,0,0.093885939,0.04077858,0.089544828
cl_669009,0,0.025385649,0.009306105,0.00035162,0.000444083
cl_669006,0.024753726,0.026906333,0.001149505,0.000100097,0.000903171
cl_669004,0,0.100637176,0.005459537,0.004216593,0
cl_669005,0.023295317,0.027787211,0.010773603,0.001017294,0.002206825
cl_669003,0,0,0,0,0
cl_139,0,0,0,0,0
cl_809026,0,0,0,0,0
cl_809025,0,0,0,0,0
